"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"07-Jul-2021","EQ","2,929.90","2,955.90","2,916.80","2,931.90","2,950.00","2,949.55","2,937.35","3,035.00","2,231.85","1,12,436","33,02,64,325.70","16,177"
"06-Jul-2021","EQ","2,941.00","2,947.10","2,910.00","2,938.85","2,930.00","2,931.90","2,926.57","3,035.00","2,231.85","1,06,631","31,20,63,049.80","10,122"
"05-Jul-2021","EQ","2,982.10","2,982.10","2,928.50","2,950.35","2,942.00","2,938.85","2,943.94","3,035.00","2,231.85","1,15,033","33,86,50,567.45","8,028"
"02-Jul-2021","EQ","2,935.00","3,035.00","2,920.00","2,924.20","2,960.00","2,950.35","2,987.64","3,035.00","2,231.85","7,75,949","2,31,82,53,614.60","47,895"
"01-Jul-2021","EQ","2,908.00","2,932.00","2,883.00","2,901.60","2,916.25","2,924.20","2,918.51","3,031.20","2,231.85","88,011","25,68,60,546.90","11,401"
"30-Jun-2021","EQ","2,926.80","2,933.85","2,891.10","2,922.25","2,891.10","2,901.60","2,911.01","3,031.20","2,231.85","1,16,754","33,98,72,323.40","8,350"
"29-Jun-2021","EQ","2,933.00","2,948.75","2,888.00","2,936.05","2,922.00","2,922.25","2,914.74","3,031.20","2,231.85","1,92,105","55,99,35,685.95","13,479"
"28-Jun-2021","EQ","2,895.00","2,980.00","2,875.00","2,886.25","2,939.00","2,936.05","2,937.82","3,031.20","2,231.85","2,52,977","74,31,99,758.40","14,340"
"25-Jun-2021","EQ","2,886.50","2,907.55","2,875.00","2,885.30","2,878.00","2,886.25","2,888.76","3,031.20","2,231.85","66,296","19,15,13,127.80","6,358"
"24-Jun-2021","EQ","2,908.00","2,922.35","2,876.00","2,903.70","2,876.80","2,885.30","2,894.51","3,031.20","2,231.85","1,10,967","32,11,95,488.25","9,962"
"23-Jun-2021","EQ","2,930.00","2,940.70","2,899.95","2,924.95","2,900.50","2,903.70","2,911.98","3,031.20","2,231.85","84,925","24,72,99,550.50","10,191"
"22-Jun-2021","EQ","2,926.25","2,952.85","2,885.05","2,920.40","2,925.00","2,924.95","2,920.77","3,031.20","2,231.85","1,60,414","46,85,32,774.95","13,290"
"21-Jun-2021","EQ","2,865.00","2,938.00","2,863.40","2,897.70","2,922.55","2,920.40","2,913.56","3,031.20","2,231.85","1,11,420","32,46,28,830.75","8,994"
"18-Jun-2021","EQ","2,959.90","2,959.90","2,862.00","2,953.90","2,895.05","2,897.70","2,902.80","3,031.20","2,231.85","2,00,557","58,21,77,640.15","16,141"
"17-Jun-2021","EQ","2,874.10","2,960.75","2,854.10","2,890.20","2,943.65","2,953.90","2,941.12","3,031.20","2,231.85","5,95,837","1,75,24,25,451.20","23,859"
"16-Jun-2021","EQ","2,939.90","2,949.00","2,880.00","2,927.65","2,894.95","2,890.20","2,907.66","3,031.20","2,231.85","1,72,861","50,26,21,850.70","10,785"
"15-Jun-2021","EQ","2,989.40","3,009.50","2,916.00","2,979.75","2,930.00","2,927.65","2,954.78","3,031.20","2,231.85","2,33,622","69,03,02,726.05","16,006"
"14-Jun-2021","EQ","2,875.00","2,996.00","2,839.00","2,879.80","2,981.00","2,979.75","2,957.50","3,031.20","2,231.85","8,61,814","2,54,88,15,551.00","55,642"
"11-Jun-2021","EQ","2,859.60","2,913.30","2,850.00","2,859.80","2,873.00","2,879.80","2,888.11","3,031.20","2,231.85","2,29,916","66,40,23,346.90","15,562"
"10-Jun-2021","EQ","2,810.00","2,876.00","2,805.00","2,798.65","2,855.60","2,859.80","2,848.81","3,031.20","2,231.85","1,54,358","43,97,36,673.70","10,541"
"09-Jun-2021","EQ","2,829.00","2,899.00","2,771.00","2,834.35","2,810.00","2,798.65","2,852.74","3,031.20","2,231.85","4,44,850","1,26,90,40,615.20","26,494"
"08-Jun-2021","EQ","2,819.10","2,846.40","2,818.00","2,824.80","2,828.15","2,834.35","2,835.03","3,031.20","2,231.85","1,08,764","30,83,48,980.25","8,684"
"07-Jun-2021","EQ","2,820.00","2,837.35","2,790.15","2,811.55","2,818.00","2,824.80","2,818.03","3,031.20","2,231.85","2,08,895","58,86,71,719.90","14,434"
"04-Jun-2021","EQ","2,788.00","2,819.90","2,770.50","2,775.20","2,815.00","2,811.55","2,802.74","3,031.20","2,231.85","1,59,634","44,74,12,595.70","11,302"
"03-Jun-2021","EQ","2,804.05","2,821.40","2,757.65","2,795.00","2,783.00","2,775.20","2,788.11","3,031.20","2,231.85","1,42,496","39,72,94,016.35","10,038"
"02-Jun-2021","EQ","2,796.00","2,822.00","2,775.00","2,785.65","2,798.00","2,795.00","2,800.13","3,031.20","2,231.85","2,76,579","77,44,58,326.70","20,163"
"01-Jun-2021","EQ","2,754.00","2,793.00","2,715.00","2,741.35","2,786.00","2,785.65","2,765.32","3,031.20","2,231.85","3,82,614","1,05,80,50,063.00","23,510"
"31-May-2021","EQ","2,717.70","2,750.00","2,702.20","2,714.05","2,743.00","2,741.35","2,734.24","3,031.20","2,231.85","1,03,596","28,32,56,038.20","8,219"
"28-May-2021","EQ","2,735.00","2,735.00","2,700.15","2,719.25","2,708.45","2,714.05","2,714.43","3,031.20","2,231.85","79,925","21,69,50,735.05","5,885"
"27-May-2021","EQ","2,715.80","2,734.95","2,683.10","2,710.20","2,725.15","2,719.25","2,713.20","3,031.20","2,231.85","2,42,132","65,69,52,636.05","14,149"
"26-May-2021","EQ","2,733.70","2,750.20","2,701.65","2,723.70","2,707.65","2,710.20","2,719.58","3,031.20","2,231.85","1,53,851","41,84,10,360.90","13,773"
"25-May-2021","EQ","2,724.00","2,729.80","2,695.75","2,718.05","2,727.80","2,723.70","2,709.00","3,031.20","2,231.85","1,70,536","46,19,82,089.70","8,698"
"24-May-2021","EQ","2,722.15","2,735.90","2,703.30","2,717.95","2,718.00","2,718.05","2,720.13","3,031.20","2,231.85","1,99,808","54,35,03,310.75","9,356"
"21-May-2021","EQ","2,751.00","2,764.45","2,705.00","2,723.30","2,718.00","2,717.95","2,718.72","3,031.20","2,231.85","2,80,190","76,17,57,852.05","15,890"
"20-May-2021","EQ","2,770.00","2,795.00","2,702.00","2,754.40","2,730.00","2,723.30","2,733.94","3,031.20","2,231.85","3,82,417","1,04,55,03,647.05","24,892"
"19-May-2021","EQ","2,686.00","2,892.00","2,671.50","2,723.70","2,757.85","2,754.40","2,815.99","3,031.20","2,231.85","23,89,450","6,72,86,64,752.25","1,24,178"
"18-May-2021","EQ","2,780.00","2,800.00","2,711.50","2,765.65","2,722.00","2,723.70","2,739.05","3,031.20","2,231.85","3,05,984","83,81,05,090.35","20,384"
"17-May-2021","EQ","2,740.00","2,782.70","2,721.00","2,722.30","2,762.95","2,765.65","2,764.36","3,031.20","2,231.85","2,17,134","60,02,37,222.90","15,798"
"14-May-2021","EQ","2,760.00","2,820.00","2,705.00","2,725.85","2,727.05","2,722.30","2,764.68","3,031.20","2,231.85","4,76,789","1,31,81,71,356.15","31,640"
