,,Torrent Pharmaceuticals Ltd.,,,,Nifty 50,,
DATE,,PREV. CLOSE,CLOSE,Daily Return,,OPEN,CLOSE,Daily Return %
06-03-2024,,2661.95,2691.2,1.098818535,,22327.5,22474.05,0.656365469
05-03-2024,,2690.85,2661.95,-1.074010071,,22371.25,22356.3,-0.066826842
04-03-2024,,2691.5,2690.85,-0.024150102,,22403.5,22405.6,0.009373535
02-03-2024,,2668.65,2691.5,0.856238173,,22406.95,22378.4,-0.127415824
01-03-2024,,2666.1,2668.65,0.095645325,,22048.3,22338.75,1.317335123
29-02-2024,,2613.1,2666.1,2.028242318,,21935.2,21982.8,0.217002808
28-02-2024,,2625.95,2613.1,-0.489346713,,22214.1,21951.15,-1.183707645
27-02-2024,,2624.1,2625.95,0.070500362,,22090.2,22198.35,0.489583616
26-02-2024,,2626.95,2624.1,-0.108490835,,22169.2,22122.05,-0.21268246
23-02-2024,,2608,2626.95,0.726610429,,22290,22212.7,-0.346792284
22-02-2024,,2603,2608,0.192086055,,22081.55,22217.45,0.615445927
21-02-2024,,2644.65,2603,-1.574877583,,22248.85,22055.05,-0.871056257
20-02-2024,,2615,2644.65,1.133843212,,22099.2,22196.95,0.442323704
19-02-2024,,2639.45,2615,-0.926329349,,22103.45,22122.25,0.085054596
16-02-2024,,2577.85,2639.45,2.389588223,,22020.3,22040.7,0.09264179
15-02-2024,,2604.25,2577.85,-1.013727561,,21906.55,21910.75,0.019172348
14-02-2024,,2621.75,2604.25,-0.667493087,,21578.15,21840.05,1.213727776
13-02-2024,,2619.65,2621.75,0.080163381,,21664.3,21743.25,0.364424422
12-02-2024,,2657.35,2619.65,-1.418706606,,21800.8,21616.05,-0.847445965
09-02-2024,,2645.9,2657.35,0.432745002,,21727,21782.5,0.255442537
08-02-2024,,2649.35,2645.9,-0.13022062,,22009.65,21717.95,-1.325327754
07-02-2024,,2610.75,2649.35,1.478502346,,22045.05,21930.5,-0.519617783
06-02-2024,,2643.7,2610.75,-1.246359269,,21825.2,21929.4,0.47742976
05-02-2024,,2525.65,2643.7,4.674044305,,21921.05,21771.7,-0.681308605
02-02-2024,,2512.5,2525.65,0.523383085,,21812.75,21853.8,0.188192685
